축구심판복	의상류	모든직업    레벨41 (AC -1), 무게1
수오미하프플레이트토	의상류	남자 전사용   레벨26 (AC -26), 무게10
수오미하프플레이트풍	의상류	남자 전사용   레벨26 (AC -27), 무게10
수오미하프플레이트화	의상류	남자 전사용   레벨26 (AC -28), 무게10
뤼케시온하프플레이트	의상류	남자 전사용   레벨26 (AC -24), 무게10
뤼케시온하프플레이트수	의상류	남자 전사용   레벨26 (AC -25), 무게10
뤼케시온하프플레이트토	의상류	남자 전사용   레벨26 (AC -26), 무게10
뤼케시온하프플레이트풍	의상류	남자 전사용   레벨26 (AC -27), 무게10
뤼케시온하프플레이트화	의상류	남자 전사용   레벨26 (AC -28), 무게10
루어스하프플레이트	의상류	남자 전사용   레벨26 (AC -24), 무게10
루어스하프플레이트수	의상류	남자 전사용   레벨26 (AC -25), 무게10
루어스하프플레이트토	의상류	남자 전사용   레벨26 (AC -26), 무게10
루어스하프플레이트풍	의상류	남자 전사용   레벨26 (AC -27), 무게10
루어스하프플레이트화	의상류	남자 전사용   레벨26 (AC -28), 무게10
밀레스하프플레이트	의상류	남자 전사용   레벨26 (AC -24), 무게10
밀레스하프플레이트수	의상류	남자 전사용   레벨26 (AC -25), 무게10
밀레스하프플레이트토	의상류	남자 전사용   레벨26 (AC -26), 무게10
밀레스하프플레이트풍	의상류	남자 전사용   레벨26 (AC -27), 무게10
밀레스하프플레이트화	의상류	남자 전사용   레벨26 (AC -28), 무게10
카스뮴아머	의상류	남자 전사용   레벨41 (AC -30), 무게13
카스뮴아머수	의상류	남자 전사용   레벨41 (AC -31), 무게13
카스뮴아머토	의상류	남자 전사용   레벨41 (AC -32), 무게13
카스뮴아머풍	의상류	남자 전사용   레벨41 (AC -33), 무게13
카스뮴아머화	의상류	남자 전사용   레벨41 (AC -34), 무게13
체인메일	의상류	남자 전사용   레벨56 (AC -36), 무게16
체인메일수	의상류	남자 전사용   레벨56 (AC -37), 무게16
체인메일토	의상류	남자 전사용   레벨56 (AC -38), 무게16
체인메일풍	의상류	남자 전사용   레벨56 (AC -39), 무게16
체인메일화	의상류	남자 전사용   레벨56 (AC -40), 무게16
수오미체인메일	의상류	남자 전사용   레벨56 (AC -36), 무게16
수오미체인메일수	의상류	남자 전사용   레벨56 (AC -37), 무게16
수오미체인메일토	의상류	남자 전사용   레벨56 (AC -38), 무게16
수오미체인메일풍	의상류	남자 전사용   레벨56 (AC -39), 무게16
수오미체인메일화	의상류	남자 전사용   레벨56 (AC -40), 무게16
뤼케시온체인메일	의상류	남자 전사용   레벨56 (AC -36), 무게16
뤼케시온체인메일수	의상류	남자 전사용   레벨56 (AC -37), 무게16
뤼케시온체인메일토	의상류	남자 전사용   레벨56 (AC -38), 무게16
뤼케시온체인메일풍	의상류	남자 전사용   레벨56 (AC -39), 무게16
뤼케시온체인메일화	의상류	남자 전사용   레벨56 (AC -40), 무게16
루어스체인메일	의상류	남자 전사용   레벨56 (AC -36), 무게16
루어스체인메일수	의상류	남자 전사용   레벨56 (AC -37), 무게16
루어스체인메일토	의상류	남자 전사용   레벨56 (AC -38), 무게16
루어스체인메일풍	의상류	남자 전사용   레벨56 (AC -39), 무게16
루어스체인메일화	의상류	남자 전사용   레벨56 (AC -40), 무게16
밀레스체인메일	의상류	남자 전사용   레벨56 (AC -36), 무게16
밀레스체인메일수	의상류	남자 전사용   레벨56 (AC -37), 무게16
밀레스체인메일토	의상류	남자 전사용   레벨56 (AC -38), 무게16
밀레스체인메일풍	의상류	남자 전사용   레벨56 (AC -39), 무게16
밀레스체인메일화	의상류	남자 전사용   레벨56 (AC -40), 무게16
이프리트메일	의상류	남자 전사용   레벨71 (AC -43), 무게19
이프리트메일수	의상류	남자 전사용   레벨71 (AC -44), 무게19
이프리트메일토	의상류	남자 전사용   레벨71 (AC -45), 무게19
이프리트메일풍	의상류	남자 전사용   레벨71 (AC -46), 무게19
이프리트메일화	의상류	남자 전사용   레벨71 (AC -47), 무게19
풀플레이트	의상류	남자 전사용   레벨86 (AC -49), 무게22
풀플레이트수	의상류	남자 전사용   레벨86 (AC -50), 무게22
풀플레이트토	의상류	남자 전사용   레벨86 (AC -51), 무게22
풀플레이트풍	의상류	남자 전사용   레벨86 (AC -52), 무게22
풀플레이트화	의상류	남자 전사용   레벨86 (AC -53), 무게22
수오미풀플레이트	의상류	남자 전사용   레벨86 (AC -49), 무게22
수오미풀플레이트수	의상류	남자 전사용   레벨86 (AC -50), 무게22
수오미풀플레이트토	의상류	남자 전사용   레벨86 (AC -51), 무게22
수오미풀플레이트풍	의상류	남자 전사용   레벨86 (AC -52), 무게22
수오미풀플레이트화	의상류	남자 전사용   레벨86 (AC -53), 무게22
뤼케시온풀플레이트	의상류	남자 전사용   레벨86 (AC -49), 무게22
뤼케시온풀플레이트수	의상류	남자 전사용   레벨86 (AC -50), 무게22
뤼케시온풀플레이트토	의상류	남자 전사용   레벨86 (AC -51), 무게22
뤼케시온풀플레이트풍	의상류	남자 전사용   레벨86 (AC -52), 무게22
뤼케시온풀플레이트화	의상류	남자 전사용   레벨86 (AC -53), 무게22
루어스풀플레이트	의상류	남자 전사용   레벨86 (AC -49), 무게22
루어스풀플레이트수	의상류	남자 전사용   레벨86 (AC -50), 무게22
루어스풀플레이트토	의상류	남자 전사용   레벨86 (AC -51), 무게22
루어스풀플레이트풍	의상류	남자 전사용   레벨86 (AC -52), 무게22
루어스풀플레이트화	의상류	남자 전사용   레벨86 (AC -53), 무게22
밀레스풀플레이트	의상류	남자 전사용   레벨86 (AC -49), 무게22
밀레스풀플레이트수	의상류	남자 전사용   레벨86 (AC -50), 무게22
밀레스풀플레이트토	의상류	남자 전사용   레벨86 (AC -51), 무게22
밀레스풀플레이트풍	의상류	남자 전사용   레벨86 (AC -52), 무게22
밀레스풀플레이트화	의상류	남자 전사용   레벨86 (AC -53), 무게22
골든플레이트	의상류	남자 전사용   레벨99 (AC -55), 무게25
골든플레이트수	의상류	남자 전사용   레벨99 (AC -56), 무게25
골든플레이트토	의상류	남자 전사용   레벨99 (AC -57), 무게25
골든플레이트풍	의상류	남자 전사용   레벨99 (AC -58), 무게25
골든플레이트화	의상류	남자 전사용   레벨99 (AC -59), 무게25
스카웃튜닉	의상류	남자 도적용     레벨 1 (AC -10), 무게 4
스카웃튜닉수	의상류	남자 도적용     레벨 1 (AC -11), 무게 4
스카웃튜닉토	의상류	남자 도적용     레벨 1 (AC -12), 무게 4
스카웃튜닉풍	의상류	남자 도적용     레벨 1 (AC -13), 무게 4
스카웃튜닉화	의상류	남자 도적용     레벨 1 (AC -14), 무게 4
수오미스카웃튜닉	의상류	남자 도적용     레벨 1 (AC -10), 무게 4
수오미스카웃튜닉수	의상류	남자 도적용     레벨 1 (AC -11), 무게 4
수오미스카웃튜닉토	의상류	남자 도적용     레벨 1 (AC -12), 무게 4
수오미스카웃튜닉풍	의상류	남자 도적용     레벨 1 (AC -13), 무게 4
수오미스카웃튜닉화	의상류	남자 도적용     레벨 1 (AC -14), 무게 4
뤼케시온스카웃튜닉	의상류	남자 도적용     레벨 1 (AC -10), 무게 4
뤼케시온스카웃튜닉수	의상류	남자 도적용     레벨 1 (AC -11), 무게 4
뤼케시온스카웃튜닉토	의상류	남자 도적용     레벨 1 (AC -12), 무게 4
뤼케시온스카웃튜닉풍	의상류	남자 도적용     레벨 1 (AC -13), 무게 4
뤼케시온스카웃튜닉화	의상류	남자 도적용     레벨 1 (AC -14), 무게 4
루어스스카웃튜닉	의상류	남자 도적용     레벨 1 (AC -10), 무게 4
루어스스카웃튜닉수	의상류	남자 도적용     레벨 1 (AC -11), 무게 4
루어스스카웃튜닉토	의상류	남자 도적용     레벨 1 (AC -12), 무게 4
루어스스카웃튜닉풍	의상류	남자 도적용     레벨 1 (AC -13), 무게 4
루어스스카웃튜닉화	의상류	남자 도적용     레벨 1 (AC -14), 무게 4
밀레스스카웃튜닉	의상류	남자 도적용     레벨 1 (AC -10), 무게 4
밀레스스카웃튜닉수	의상류	남자 도적용     레벨 1 (AC -11), 무게 4
밀레스스카웃튜닉토	의상류	남자 도적용     레벨 1 (AC -12), 무게 4
밀레스스카웃튜닉풍	의상류	남자 도적용     레벨 1 (AC -13), 무게 4
밀레스스카웃튜닉화	의상류	남자 도적용     레벨 1 (AC -14), 무게 4
노미쉬레더	의상류	남자 도적용     레벨11 (AC -20), 무게 6
노미쉬레더수	의상류	남자 도적용     레벨11 (AC -21), 무게 6
노미쉬레더토	의상류	남자 도적용     레벨11 (AC -22), 무게 6
노미쉬레더풍	의상류	남자 도적용     레벨11 (AC -23), 무게 6
노미쉬레더화	의상류	남자 도적용     레벨11 (AC -24), 무게 6
수오미노미쉬레더	의상류	남자 도적용     레벨11 (AC -20), 무게 6
수오미노미쉬레더수	의상류	남자 도적용     레벨11 (AC -21), 무게 6
수오미노미쉬레더토	의상류	남자 도적용     레벨11 (AC -22), 무게 6
수오미노미쉬레더풍	의상류	남자 도적용     레벨11 (AC -23), 무게 6
수오미노미쉬레더화	의상류	남자 도적용     레벨11 (AC -24), 무게 6
뤼케시온노미쉬레더	의상류	남자 도적용     레벨11 (AC -20), 무게 6
뤼케시온노미쉬레더수	의상류	남자 도적용     레벨11 (AC -21), 무게 6
뤼케시온노미쉬레더토	의상류	남자 도적용     레벨11 (AC -22), 무게 6
뤼케시온노미쉬레더풍	의상류	남자 도적용     레벨11 (AC -23), 무게 6
뤼케시온노미쉬레더화	의상류	남자 도적용     레벨11 (AC -24), 무게 6
루어스노미쉬레더	의상류	남자 도적용     레벨11 (AC -20), 무게 6
루어스노미쉬레더수	의상류	남자 도적용     레벨11 (AC -21), 무게 6
루어스노미쉬레더토	의상류	남자 도적용     레벨11 (AC -22), 무게 6
루어스노미쉬레더풍	의상류	남자 도적용     레벨11 (AC -23), 무게 6
루어스노미쉬레더화	의상류	남자 도적용     레벨11 (AC -24), 무게 6
밀레스노미쉬레더	의상류	남자 도적용     레벨11 (AC -20), 무게 6
밀레스노미쉬레더수	의상류	남자 도적용     레벨11 (AC -21), 무게 6
밀레스노미쉬레더토	의상류	남자 도적용     레벨11 (AC -22), 무게 6
밀레스노미쉬레더풍	의상류	남자 도적용     레벨11 (AC -23), 무게 6
밀레스노미쉬레더화	의상류	남자 도적용     레벨11 (AC -24), 무게 6
팔루텐	의상류	남자 도적용     레벨41 (AC -30), 무게 9
팔루텐수	의상류	남자 도적용     레벨41 (AC -31), 무게 9
팔루텐토	의상류	남자 도적용     레벨41 (AC -32), 무게 9
팔루텐풍	의상류	남자 도적용     레벨41 (AC -33), 무게 9
팔루텐화	의상류	남자 도적용     레벨41 (AC -34), 무게 9
수오미팔루텐	의상류	남자 도적용     레벨41 (AC -30), 무게 9
수오미팔루텐수	의상류	남자 도적용     레벨41 (AC -31), 무게 9
수오미팔루텐토	의상류	남자 도적용     레벨41 (AC -32), 무게 9
수오미팔루텐풍	의상류	남자 도적용     레벨41 (AC -33), 무게 9
수오미팔루텐화	의상류	남자 도적용     레벨41 (AC -34), 무게 9
뤼케시온팔루텐	의상류	남자 도적용     레벨41 (AC -30), 무게 9
뤼케시온팔루텐수	의상류	남자 도적용     레벨41 (AC -31), 무게 9
뤼케시온팔루텐토	의상류	남자 도적용     레벨41 (AC -32), 무게 9
뤼케시온팔루텐풍	의상류	남자 도적용     레벨41 (AC -33), 무게 9
뤼케시온팔루텐화	의상류	남자 도적용     레벨41 (AC -34), 무게 9
루어스팔루텐	의상류	남자 도적용     레벨41 (AC -30), 무게 9
루어스팔루텐수	의상류	남자 도적용     레벨41 (AC -31), 무게 9
루어스팔루텐토	의상류	남자 도적용     레벨41 (AC -32), 무게 9
루어스팔루텐풍	의상류	남자 도적용     레벨41 (AC -33), 무게 9
루어스팔루텐화	의상류	남자 도적용     레벨41 (AC -34), 무게 9
밀레스팔루텐	의상류	남자 도적용     레벨41 (AC -30), 무게 9
밀레스팔루텐수	의상류	남자 도적용     레벨41 (AC -31), 무게 9
밀레스팔루텐토	의상류	남자 도적용     레벨41 (AC -32), 무게 9
밀레스팔루텐풍	의상류	남자 도적용     레벨41 (AC -33), 무게 9
밀레스팔루텐화	의상류	남자 도적용     레벨41 (AC -34), 무게 9
키톤	의상류	남자 도적용     레벨71 (AC -40), 무게13
키톤수	의상류	남자 도적용     레벨71 (AC -41), 무게13
키톤토	의상류	남자 도적용     레벨71 (AC -42), 무게13
키톤풍	의상류	남자 도적용     레벨71 (AC -43), 무게13
키톤화	의상류	남자 도적용     레벨71 (AC -44), 무게13
수오미키톤	의상류	남자 도적용     레벨71 (AC -40), 무게13
수오미키톤수	의상류	남자 도적용     레벨71 (AC -41), 무게13
수오미키톤토	의상류	남자 도적용     레벨71 (AC -42), 무게13
수오미키톤풍	의상류	남자 도적용     레벨71 (AC -43), 무게13
수오미키톤화	의상류	남자 도적용     레벨71 (AC -44), 무게13
뤼케시온키톤	의상류	남자 도적용     레벨71 (AC -40), 무게13
뤼케시온키톤수	의상류	남자 도적용     레벨71 (AC -41), 무게13
뤼케시온키톤토	의상류	남자 도적용     레벨71 (AC -42), 무게13
뤼케시온키톤풍	의상류	남자 도적용     레벨71 (AC -43), 무게13
뤼케시온키톤화	의상류	남자 도적용     레벨71 (AC -44), 무게13
루어스키톤	의상류	남자 도적용     레벨71 (AC -40), 무게13
루어스키톤수	의상류	남자 도적용     레벨71 (AC -41), 무게13
루어스키톤토	의상류	남자 도적용     레벨71 (AC -42), 무게13
루어스키톤풍	의상류	남자 도적용     레벨71 (AC -43), 무게13
루어스키톤화	의상류	남자 도적용     레벨71 (AC -44), 무게13
밀레스키톤	의상류	남자 도적용     레벨71 (AC -40), 무게13
밀레스키톤수	의상류	남자 도적용     레벨71 (AC -41), 무게13
밀레스키톤토	의상류	남자 도적용     레벨71 (AC -42), 무게13
밀레스키톤풍	의상류	남자 도적용     레벨71 (AC -43), 무게13
밀레스키톤화	의상류	남자 도적용     레벨71 (AC -44), 무게13
바르도클	의상류	남자 도적용     레벨99 (AC -50), 무게18
바르도클수	의상류	남자 도적용     레벨99 (AC -51), 무게18
바르도클토	의상류	남자 도적용     레벨99 (AC -52), 무게18
바르도클풍	의상류	남자 도적용     레벨99 (AC -53), 무게18
바르도클화	의상류	남자 도적용     레벨99 (AC -54), 무게18
수오미바르도클	의상류	남자 도적용     레벨99 (AC -50), 무게18
수오미바르도클수	의상류	남자 도적용     레벨99 (AC -51), 무게18
수오미바르도클토	의상류	남자 도적용     레벨99 (AC -52), 무게18
수오미바르도클풍	의상류	남자 도적용     레벨99 (AC -53), 무게18
수오미바르도클화	의상류	남자 도적용     레벨99 (AC -54), 무게18
뤼케시온바르도클	의상류	남자 도적용     레벨99 (AC -50), 무게18
뤼케시온바르도클수	의상류	남자 도적용     레벨99 (AC -51), 무게18
뤼케시온바르도클토	의상류	남자 도적용     레벨99 (AC -52), 무게18
뤼케시온바르도클풍	의상류	남자 도적용     레벨99 (AC -53), 무게18
뤼케시온바르도클화	의상류	남자 도적용     레벨99 (AC -54), 무게18
루어스바르도클	의상류	남자 도적용     레벨99 (AC -50), 무게18
루어스바르도클수	의상류	남자 도적용     레벨99 (AC -51), 무게18
루어스바르도클토	의상류	남자 도적용     레벨99 (AC -52), 무게18
루어스바르도클풍	의상류	남자 도적용     레벨99 (AC -53), 무게18
루어스바르도클화	의상류	남자 도적용     레벨99 (AC -54), 무게18
밀레스바르도클	의상류	남자 도적용     레벨99 (AC -50), 무게18
밀레스바르도클수	의상류	남자 도적용     레벨99 (AC -51), 무게18
밀레스바르도클토	의상류	남자 도적용     레벨99 (AC -52), 무게18
밀레스바르도클풍	의상류	남자 도적용     레벨99 (AC -53), 무게18
밀레스바르도클화	의상류	남자 도적용     레벨99 (AC -54), 무게18
후드로브	의상류	남자 마법사    레벨 1 (AC - 8), 무게 4
후드로브수	의상류	남자 마법사    레벨 1 (AC - 9), 무게 4
후드로브토	의상류	남자 마법사    레벨 1 (AC -10), 무게 4
후드로브풍	의상류	남자 마법사    레벨 1 (AC -11), 무게 4
후드로브화	의상류	남자 마법사    레벨 1 (AC -12), 무게 4
수오미후드로브	의상류	남자 마법사    레벨 1 (AC - 8), 무게 4
수오미후드로브수	의상류	남자 마법사    레벨 1 (AC - 9), 무게 4
수오미후드로브토	의상류	남자 마법사    레벨 1 (AC -10), 무게 4
수오미후드로브풍	의상류	남자 마법사    레벨 1 (AC -11), 무게 4
수오미후드로브화	의상류	남자 마법사    레벨 1 (AC -12), 무게 4
뤼케시온후드로브	의상류	남자 마법사    레벨 1 (AC - 8), 무게 4
뤼케시온후드로브수	의상류	남자 마법사    레벨 1 (AC - 9), 무게 4
뤼케시온후드로브토	의상류	남자 마법사    레벨 1 (AC -10), 무게 4
뤼케시온후드로브풍	의상류	남자 마법사    레벨 1 (AC -11), 무게 4
뤼케시온후드로브화	의상류	남자 마법사    레벨 1 (AC -12), 무게 4
루어스후드로브	의상류	남자 마법사    레벨 1 (AC - 8), 무게 4
루어스후드로브수	의상류	남자 마법사    레벨 1 (AC - 9), 무게 4
루어스후드로브토	의상류	남자 마법사    레벨 1 (AC -10), 무게 4
루어스후드로브풍	의상류	남자 마법사    레벨 1 (AC -11), 무게 4
루어스후드로브화	의상류	남자 마법사    레벨 1 (AC -12), 무게 4
밀레스후드로브	의상류	남자 마법사    레벨 1 (AC - 8), 무게 4
밀레스후드로브수	의상류	남자 마법사    레벨 1 (AC - 9), 무게 4
밀레스후드로브토	의상류	남자 마법사    레벨 1 (AC -10), 무게 4
밀레스후드로브풍	의상류	남자 마법사    레벨 1 (AC -11), 무게 4
밀레스후드로브화	의상류	남자 마법사    레벨 1 (AC -12), 무게 4
달마티카	의상류	남자 마법사    레벨11 (AC -16), 무게 5
달마티카수	의상류	남자 마법사    레벨11 (AC -17), 무게 5
달마티카토	의상류	남자 마법사    레벨11 (AC -18), 무게 5
달마티카풍	의상류	남자 마법사    레벨11 (AC -19), 무게 5
달마티카화	의상류	남자 마법사    레벨11 (AC -20), 무게 5
수오미달마티카	의상류	남자 마법사    레벨11 (AC -16), 무게 5
수오미달마티카수	의상류	남자 마법사    레벨11 (AC -17), 무게 5
수오미달마티카토	의상류	남자 마법사    레벨11 (AC -18), 무게 5
수오미달마티카풍	의상류	남자 마법사    레벨11 (AC -19), 무게 5
수오미달마티카화	의상류	남자 마법사    레벨11 (AC -20), 무게 5
뤼케시온달마티카	의상류	남자 마법사    레벨11 (AC -16), 무게 5
뤼케시온달마티카수	의상류	남자 마법사    레벨11 (AC -17), 무게 5
뤼케시온달마티카토	의상류	남자 마법사    레벨11 (AC -18), 무게 5
뤼케시온달마티카풍	의상류	남자 마법사    레벨11 (AC -19), 무게 5
뤼케시온달마티카화	의상류	남자 마법사    레벨11 (AC -20), 무게 5
루어스달마티카	의상류	남자 마법사    레벨11 (AC -16), 무게 5
루어스달마티카수	의상류	남자 마법사    레벨11 (AC -17), 무게 5
루어스달마티카토	의상류	남자 마법사    레벨11 (AC -18), 무게 5
루어스달마티카풍	의상류	남자 마법사    레벨11 (AC -19), 무게 5
루어스달마티카화	의상류	남자 마법사    레벨11 (AC -20), 무게 5
밀레스달마티카	의상류	남자 마법사    레벨11 (AC -16), 무게 5
밀레스달마티카수	의상류	남자 마법사    레벨11 (AC -17), 무게 5
밀레스달마티카토	의상류	남자 마법사    레벨11 (AC -18), 무게 5
밀레스달마티카풍	의상류	남자 마법사    레벨11 (AC -19), 무게 5
밀레스달마티카화	의상류	남자 마법사    레벨11 (AC -20), 무게 5
로럼	의상류	남자 마법사    레벨41 (AC -24), 무게 6
로럼수	의상류	남자 마법사    레벨41 (AC -25), 무게 6
로럼토	의상류	남자 마법사    레벨41 (AC -26), 무게 6
로럼풍	의상류	남자 마법사    레벨41 (AC -27), 무게 6
로럼화	의상류	남자 마법사    레벨41 (AC -28), 무게 6
수오미로럼	의상류	남자 마법사    레벨41 (AC -24), 무게 6
수오미로럼수	의상류	남자 마법사    레벨41 (AC -25), 무게 6
수오미로럼토	의상류	남자 마법사    레벨41 (AC -26), 무게 6
수오미로럼풍	의상류	남자 마법사    레벨41 (AC -27), 무게 6
수오미로럼화	의상류	남자 마법사    레벨41 (AC -28), 무게 6
뤼케시온로럼	의상류	남자 마법사    레벨41 (AC -24), 무게 6
뤼케시온로럼수	의상류	남자 마법사    레벨41 (AC -25), 무게 6
뤼케시온로럼토	의상류	남자 마법사    레벨41 (AC -26), 무게 6
뤼케시온로럼풍	의상류	남자 마법사    레벨41 (AC -27), 무게 6
뤼케시온로럼화	의상류	남자 마법사    레벨41 (AC -28), 무게 6
루어스로럼	의상류	남자 마법사    레벨41 (AC -24), 무게 6
루어스로럼수	의상류	남자 마법사    레벨41 (AC -25), 무게 6
루어스로럼토	의상류	남자 마법사    레벨41 (AC -26), 무게 6
루어스로럼풍	의상류	남자 마법사    레벨41 (AC -27), 무게 6
루어스로럼화	의상류	남자 마법사    레벨41 (AC -28), 무게 6
밀레스로럼	의상류	남자 마법사    레벨41 (AC -24), 무게 6
밀레스로럼수	의상류	남자 마법사    레벨41 (AC -25), 무게 6
밀레스로럼토	의상류	남자 마법사    레벨41 (AC -26), 무게 6
밀레스로럼풍	의상류	남자 마법사    레벨41 (AC -27), 무게 6
밀레스로럼화	의상류	남자 마법사    레벨41 (AC -28), 무게 6
