집중	타격치 상승 
선풍각	돌려차기 
일음지	두 눈 찌르기 
백보신권	전방 일직선 공격 
붕각	옆차기
경신공	이동속도 향상 
디베노모	중독 해제 
일루메나	시야 회복 
미증보법	상대공격 회피 
파천각	선풍각 상위기술 
붕신선각	붕각 상위기술 
연천단각	단각 업그레이드 
트리플펀치	3회 공격 
자기보호	자기보호
무영신공	죽은 자의 힘으로 타격 
다라밀공	마법 필살기
반탄신공	기술공격 반사 
쿠라노토	체력회복 2단계 
금강불괴	약7초간무적 
철포삼	자기무장 향상
쿠랄룸	재생력 향상 
흡정신공	상대체력 흡수 
늑대변신(Lev1) 포유류 변신
늑대변신(Lev2) 포유류 변신
늑대변신(Lev3) 포유류 변신
늑대변신(Lev4) 포유류 변신
늑대변신(Lev5) 포유류 변신
독수리변신(Lev1) 포유류 변신
독수리변신(Lev2) 포유류 변신
독수리변신(Lev3) 포유류 변신
독수리변신(Lev4) 포유류 변신
독수리변신(Lev5) 포유류 변신
엘리게이터변신(Lev1) 파충류 변신
엘리게이터변신(Lev2) 파충류 변신
엘리게이터변신(Lev3) 파충류 변신
엘리게이터변신(Lev4) 파충류 변신
엘리게이터변신(Lev5) 파충류 변신
비스트어택(Lev1)	수인의 증표
비스트어택(Lev2)	수인의 증표
비스트어택(Lev3)	수인의 증표
비스트어택(Lev4)	수인의 증표
비스트어택(Lev5)	수인의 증표
마구때리기(Lev1)	연타공격
마구때리기(Lev2)	연타공격
마구때리기(Lev3)	연타공격
마구때리기(Lev4)	연타공격
마구때리기(Lev5)	연타공격
양손공격(Lev1)	양손공격
양손공격(Lev2)	양손공격
양손공격(Lev3)	양손공격
양손공격(Lev4)	양손공격
양손공격(Lev5)	양손공격
꼬리치기(Lev1)	꼬리를 이용한 공격
꼬리치기(Lev2)	꼬리를 이용한 공격
꼬리치기(Lev3)	꼬리를 이용한 공격
꼬리치기(Lev4)	꼬리를 이용한 공격
꼬리치기(Lev5)	꼬리를 이용한 공격
할퀴기(Lev1)	손톱을 이용한 공격
할퀴기(Lev2)	손톱을 이용한 공격
할퀴기(Lev3)	손톱을 이용한 공격
할퀴기(Lev4)	손톱을 이용한 공격
할퀴기(Lev5)	손톱을 이용한 공격
쪼기(Lev1)	부리를 이용한 공격
쪼기(Lev2)	부리를 이용한 공격
쪼기(Lev3)	부리를 이용한 공격
쪼기(Lev4)	부리를 이용한 공격
쪼기(Lev5)	부리를 이용한 공격
깃털날리기(Lev1)	깃털을 날려 공격
깃털날리기(Lev2)	깃털을 날려 공격
깃털날리기(Lev3)	깃털을 날려 공격
깃털날리기(Lev4)	깃털을 날려 공격
깃털날리기(Lev5)	깃털을 날려 공격
화룡의인장	화론마을 전통의 화룡문양 인장
