0,0,0,0,0,0,0	블랙셋	{
		set @rand, rand(1,3);
		if(@rand >= 2)	{
		item_add "브레스럭아머", 1;
		item_del "흑비화후의", 1;
		mes 1, "{=q브레스럭아머제작에 성공하셧습니다!";
		broadcast 5, "[" + get_name() + "]{=c님이 브레스럭아머제작에 성공하셧습니다.";
 		legend_add 1,255, "리치 1년, 여름 브레스럭아머제작에 성공하다.";
		}else{
		mes 1, "{=q브레스럭아머제작에 실패하셧습니다.";
		broadcast 5, "[" + get_name() + "]{=c님이 브레스럭아머제작에 실패하셧습니다.";
		}
		}else{
			mes 1, "{=q재료가 부족하거나, 돈이 모자릅니다.";
		}

		}else if(@select == 8){
		mes 1, "브레스럭투구를 제조합니다. 아이템을 확인합니다.";
		if(item_exist(@myid, "바다의엠버") >=30 && item_exist(@myid, "대지의엠버") >=30 && item_exist(@myid, "바람의엠버") >=30 && item_exist(@myid, "흑비화후관") >=1 && item_exist(@myid, "화염의엠버") >= 30 && get_money() >= 3000000){
		money_del "3000000";
		item_del "바다의엠버", 30;
		item_del "화염의엠버", 30;
		item_del "대지의엠버", 30;
		item_del "바람의엠버", 30;
		set @rand, rand(1,3);
		if(@rand >= 2)	{
		item_add "브레스럭투구", 1;
		item_del "흑비화후관", 1;
		mes 1, "{=q브레스럭투구제작에 성공하셧습니다!";
		broadcast 5, "[" + get_name() + "]{=c님이 브레스럭투구제작에 성공하셧습니다.";
 		legend_add 1,255, "리치 1년, 여름 브레스럭투구제작에 성공하다.";
		}else{
		mes 1, "{=q브레스럭투구제작에 실패하셧습니다.";
		broadcast 5, "[" + get_name() + "]{=c님이 브레스럭투구제작에 실패하셧습니다.";
		}
		}else{
			mes 1, "{=q재료가 부족하거나, 돈이 모자릅니다.";
		}

		}else if(@select == 9){
		mes 1, "페이로브투구를 제조합니다. 아이템을 확인합니다.";
		if(item_exist(@myid, "바다의엠버") >=30 && item_exist(@myid, "대지의엠버") >=30 && item_exist(@myid, "흑비류선후") >=1 && item_exist(@myid, "바람의엠버") >=30 && item_exist(@myid, "화염의엠버") >= 30 && get_money() >= 3000000){
		money_del "3000000";
		item_del "바다의엠버", 30;
		item_del "화염의엠버", 30;
		item_del "대지의엠버", 30;
		item_del "바람의엠버", 30;
		set @rand, rand(1,3);
		if(@rand >= 2)	{
		item_add "페이로브투구", 1;
		item_del "흑비류선후", 1;
		mes 1, "{=q페이로브투구제작에 성공하셧습니다!";
		broadcast 5, "[" + get_name() + "]{=c님이 페이로브투구제작에 성공하셧습니다.";
 		legend_add 1,255, "리치 1년, 여름 페이로브투구제작에 성공하다.";
		}else{
		mes 1, "{=q페이로브투구제작에 실패하셧습니다.";
		broadcast 5, "[" + get_name() + "]{=c님이 페이로브투구제작에 실패하셧습니다.";
		}
		}else{
			mes 1, "{=q재료가 부족하거나, 돈이 모자릅니다.";
		}

		}else if(@select == 10){
		mes 1, "페이로브아머를 제조합니다. 아이템을 확인합니다.";
		if(item_exist(@myid, "바다의엠버") >=30 && item_exist(@myid, "대지의엠버") >=30 && item_exist(@myid, "흑비류선의") >=1 && item_exist(@myid, "바람의엠버") >=30 && item_exist(@myid, "화염의엠버") >= 30 && get_money() >= 3000000){
		money_del "3000000";
		item_del "바다의엠버", 30;
		item_del "화염의엠버", 30;
		item_del "대지의엠버", 30;
		item_del "바람의엠버", 30;
		set @rand, rand(1,3);
		if(@rand >= 2)	{
		item_add "페이로브아머", 1;
		item_del "흑비류선의", 1;
		mes 1, "{=q페이로브아머제작에 성공하셧습니다!";
		broadcast 5, "[" + get_name() + "]{=c님이 페이로브아머제작에 성공하셧습니다.";
 		legend_add 1,255, "리치 1년, 여름 페이로브아머제작에 성공하다.";
		}else{
		mes 1, "{=q페이로브아머제작에 실패하셧습니다.";
		broadcast 5, "[" + get_name() + "]{=c님이 페이로브아머제작에 실패하셧습니다.";
		}
		}else{
			mes 1, "{=q재료가 부족하거나, 돈이 모자릅니다.";
		}
}
	del @select;
	del @rand;
}
