영문	부위	요구레벨	제안	후보	등급
Cail Leather Gauntlet	10	9	메투스의가죽장갑	가죽장갑 · 로오의가죽장갑 · 세오의가죽장갑 · 세토아의가죽장갑 · 셔스의가죽장갑 · 이아의가죽장갑 · 풍요의가죽장갑	PACK_CONSENSUS
Cail Mythril Bracer	10	63	메투스의은팔찌	로오의은팔찌 · 세오의은팔찌 · 세토아의은팔찌 · 셔스의은팔찌 · 은팔찌 · 이아의은팔찌 · 풍요의은팔찌	EXTRACTED_SINGLE
Cail Mythril Gauntlet	10	63	메투스의은장갑	로오의은장갑 · 뮤레칸의은장갑 · 세오의은장갑 · 세토아의은장갑 · 셔스의은장갑 · 은장갑 · 이아의은장갑 · 풍요의은장갑	EXTRACTED_SINGLE
Ceannlaidir Iron Bracer	10	33	세토아의동팔찌	동팔찌 · 로오의동팔찌 · 메투스의동팔찌 · 뮤레칸의동팔찌 · 세오의동팔찌 · 셔스의동팔찌 · 이아의동팔찌 · 풍요의동팔찌	EXTRACTED_SINGLE
Ceannlaidir Iron Gauntlet	10	33	세토아의동장갑	동장갑 · 로오의동장갑 · 메투스의동장갑 · 뮤레칸의동장갑 · 세오의동장갑 · 셔스의동장갑 · 이아의동장갑 · 풍요의동장갑	EXTRACTED_SINGLE
Ceannlaidir Leather Bracer	10	9	세토아의가죽팔찌	가죽팔찌 · 로오의가죽팔찌 · 메투스의가죽팔찌 · 세오의가죽팔찌 · 셔스의가죽팔찌 · 이아의가죽팔찌 · 풍요의가죽팔찌	EXTRACTED_SINGLE
Ceannlaidir Leather Gauntlet	10	9	세토아의가죽장갑	가죽장갑 · 로오의가죽장갑 · 메투스의가죽장갑 · 세오의가죽장갑 · 셔스의가죽장갑 · 이아의가죽장갑 · 풍요의가죽장갑	PACK_CONSENSUS
Ceannlaidir Mythril Bracer	10	63	세토아의은팔찌	로오의은팔찌 · 메투스의은팔찌 · 세오의은팔찌 · 셔스의은팔찌 · 은팔찌 · 이아의은팔찌 · 풍요의은팔찌	EXTRACTED_SINGLE
Ceannlaidir Mythril Gauntlet	10	63	세토아의은장갑	로오의은장갑 · 메투스의은장갑 · 뮤레칸의은장갑 · 세오의은장갑 · 셔스의은장갑 · 은장갑 · 이아의은장갑 · 풍요의은장갑	EXTRACTED_SINGLE
Deoch Iron Bracer	10	33	세오의동팔찌	동팔찌 · 로오의동팔찌 · 메투스의동팔찌 · 뮤레칸의동팔찌 · 세토아의동팔찌 · 셔스의동팔찌 · 이아의동팔찌 · 풍요의동팔찌	EXTRACTED_SINGLE
Deoch Leather Bracer	10	9	세오의가죽팔찌	가죽팔찌 · 로오의가죽팔찌 · 메투스의가죽팔찌 · 세토아의가죽팔찌 · 셔스의가죽팔찌 · 이아의가죽팔찌 · 풍요의가죽팔찌	EXTRACTED_SINGLE
Deoch Leather Gauntlet	10	9	세오의가죽장갑	가죽장갑 · 로오의가죽장갑 · 메투스의가죽장갑 · 세토아의가죽장갑 · 셔스의가죽장갑 · 이아의가죽장갑 · 풍요의가죽장갑	EXTRACTED_SINGLE
Deoch Mythril Bracer	10	63	세오의은팔찌	로오의은팔찌 · 메투스의은팔찌 · 세토아의은팔찌 · 셔스의은팔찌 · 은팔찌 · 이아의은팔찌 · 풍요의은팔찌	EXTRACTED_SINGLE
Deoch Mythril Gauntlet	10	63	세오의은장갑	로오의은장갑 · 메투스의은장갑 · 뮤레칸의은장갑 · 세토아의은장갑 · 셔스의은장갑 · 은장갑 · 이아의은장갑 · 풍요의은장갑	EXTRACTED_SINGLE
Fiosachd Iron Bracer	10	33	셔스의동팔찌	동팔찌 · 로오의동팔찌 · 메투스의동팔찌 · 뮤레칸의동팔찌 · 세오의동팔찌 · 세토아의동팔찌 · 이아의동팔찌 · 풍요의동팔찌	EXTRACTED_SINGLE
Fiosachd Iron Gauntlet	10	33	셔스의동장갑	동장갑 · 로오의동장갑 · 메투스의동장갑 · 뮤레칸의동장갑 · 세오의동장갑 · 세토아의동장갑 · 이아의동장갑 · 풍요의동장갑	EXTRACTED_SINGLE
Fiosachd Leather Bracer	10	9	셔스의가죽팔찌	가죽팔찌 · 로오의가죽팔찌 · 메투스의가죽팔찌 · 세오의가죽팔찌 · 세토아의가죽팔찌 · 이아의가죽팔찌 · 풍요의가죽팔찌	EXTRACTED_SINGLE
Fiosachd Leather Gauntlet	10	9	셔스의가죽장갑	가죽장갑 · 로오의가죽장갑 · 메투스의가죽장갑 · 세오의가죽장갑 · 세토아의가죽장갑 · 이아의가죽장갑 · 풍요의가죽장갑	EXTRACTED_SINGLE
Fiosachd Mythril Bracer	10	63	셔스의은팔찌	로오의은팔찌 · 메투스의은팔찌 · 세오의은팔찌 · 세토아의은팔찌 · 은팔찌 · 이아의은팔찌 · 풍요의은팔찌	EXTRACTED_SINGLE
Fiosachd Mythril Gauntlet	10	63	셔스의은장갑	로오의은장갑 · 메투스의은장갑 · 뮤레칸의은장갑 · 세오의은장갑 · 세토아의은장갑 · 은장갑 · 이아의은장갑 · 풍요의은장갑	EXTRACTED_SINGLE
Glioca Iron Bracer	10	33	이아의동팔찌	동팔찌 · 로오의동팔찌 · 메투스의동팔찌 · 뮤레칸의동팔찌 · 세오의동팔찌 · 세토아의동팔찌 · 셔스의동팔찌 · 풍요의동팔찌	EXTRACTED_SINGLE
Glioca Iron Gauntlet	10	33	이아의동장갑	동장갑 · 로오의동장갑 · 메투스의동장갑 · 뮤레칸의동장갑 · 세오의동장갑 · 세토아의동장갑 · 셔스의동장갑 · 풍요의동장갑	EXTRACTED_SINGLE
Glioca Leather Bracer	10	9	이아의가죽팔찌	가죽팔찌 · 로오의가죽팔찌 · 메투스의가죽팔찌 · 세오의가죽팔찌 · 세토아의가죽팔찌 · 셔스의가죽팔찌 · 풍요의가죽팔찌	EXTRACTED_SINGLE
Glioca Leather Gauntlet	10	9	이아의가죽장갑	가죽장갑 · 로오의가죽장갑 · 메투스의가죽장갑 · 세오의가죽장갑 · 세토아의가죽장갑 · 셔스의가죽장갑 · 풍요의가죽장갑	EXTRACTED_SINGLE
Glioca Leather Gauntlet	10	9	이아의가죽장갑	가죽장갑 · 로오의가죽장갑 · 메투스의가죽장갑 · 세오의가죽장갑 · 세토아의가죽장갑 · 셔스의가죽장갑 · 풍요의가죽장갑	EXTRACTED_SINGLE
Glioca Mythril Bracer	10	63	이아의은팔찌	로오의은팔찌 · 메투스의은팔찌 · 세오의은팔찌 · 세토아의은팔찌 · 셔스의은팔찌 · 은팔찌 · 풍요의은팔찌	EXTRACTED_SINGLE
Glioca Mythril Gauntlet	10	63	이아의은장갑	로오의은장갑 · 메투스의은장갑 · 뮤레칸의은장갑 · 세오의은장갑 · 세토아의은장갑 · 셔스의은장갑 · 은장갑 · 풍요의은장갑	EXTRACTED_SINGLE
Hy-Brasyl Bracer	10	95	금팔찌		PACK_CONSENSUS
Hy-Brasyl Gauntlet	10	95	금장갑		PACK_CONSENSUS
Iron Bracer	10	33	동팔찌	로오의동팔찌 · 메투스의동팔찌 · 뮤레칸의동팔찌 · 세오의동팔찌 · 세토아의동팔찌 · 셔스의동팔찌 · 이아의동팔찌 · 풍요의동팔찌	EXTRACTED_SINGLE
Leather Bracer	10	9	가죽팔찌	로오의가죽팔찌 · 메투스의가죽팔찌 · 세오의가죽팔찌 · 세토아의가죽팔찌 · 셔스의가죽팔찌 · 이아의가죽팔찌 · 풍요의가죽팔찌	EXTRACTED_SINGLE
Leather Gauntlet	10	9	가죽장갑	로오의가죽장갑 · 메투스의가죽장갑 · 세오의가죽장갑 · 세토아의가죽장갑 · 셔스의가죽장갑 · 이아의가죽장갑 · 풍요의가죽장갑	PACK_CONSENSUS
Luathas Iron Bracer	10	33	로오의동팔찌	동팔찌 · 메투스의동팔찌 · 뮤레칸의동팔찌 · 세오의동팔찌 · 세토아의동팔찌 · 셔스의동팔찌 · 이아의동팔찌 · 풍요의동팔찌	EXTRACTED_SINGLE
Luathas Iron Gauntlet	10	33	로오의동장갑	동장갑 · 메투스의동장갑 · 뮤레칸의동장갑 · 세오의동장갑 · 세토아의동장갑 · 셔스의동장갑 · 이아의동장갑 · 풍요의동장갑	EXTRACTED_SINGLE
Luathas Leather Bracer	10	9	로오의가죽팔찌	가죽팔찌 · 메투스의가죽팔찌 · 세오의가죽팔찌 · 세토아의가죽팔찌 · 셔스의가죽팔찌 · 이아의가죽팔찌 · 풍요의가죽팔찌	EXTRACTED_SINGLE
Luathas Leather Gauntlet	10	9	로오의가죽장갑	가죽장갑 · 메투스의가죽장갑 · 세오의가죽장갑 · 세토아의가죽장갑 · 셔스의가죽장갑 · 이아의가죽장갑 · 풍요의가죽장갑	PACK_CONSENSUS
Luathas Mythril Bracer	10	63	로오의은팔찌	메투스의은팔찌 · 세오의은팔찌 · 세토아의은팔찌 · 셔스의은팔찌 · 은팔찌 · 이아의은팔찌 · 풍요의은팔찌	EXTRACTED_SINGLE
Luathas Mythril Gauntlet	10	63	로오의은장갑	메투스의은장갑 · 뮤레칸의은장갑 · 세오의은장갑 · 세토아의은장갑 · 셔스의은장갑 · 은장갑 · 이아의은장갑 · 풍요의은장갑	EXTRACTED_SINGLE
Mythril Bracer	10	63	은팔찌	로오의은팔찌 · 메투스의은팔찌 · 세오의은팔찌 · 세토아의은팔찌 · 셔스의은팔찌 · 이아의은팔찌 · 풍요의은팔찌	EXTRACTED_SINGLE
Mythril Gauntlet	10	63	은장갑	로오의은장갑 · 메투스의은장갑 · 뮤레칸의은장갑 · 세오의은장갑 · 세토아의은장갑 · 셔스의은장갑 · 이아의은장갑 · 풍요의은장갑	PACK_CONSENSUS
Sgrios Iron Bracer	10	33	뮤레칸의동팔찌	동팔찌 · 로오의동팔찌 · 메투스의동팔찌 · 세오의동팔찌 · 세토아의동팔찌 · 셔스의동팔찌 · 이아의동팔찌 · 풍요의동팔찌	EXTRACTED_SINGLE
Sgrios Iron Gauntlet	10	33	뮤레칸의동장갑	동장갑 · 로오의동장갑 · 메투스의동장갑 · 세오의동장갑 · 세토아의동장갑 · 셔스의동장갑 · 이아의동장갑 · 풍요의동장갑	EXTRACTED_SINGLE
Sgrios Mythril Gauntlet	10	63	뮤레칸의은장갑	로오의은장갑 · 메투스의은장갑 · 세오의은장갑 · 세토아의은장갑 · 셔스의은장갑 · 은장갑 · 이아의은장갑 · 풍요의은장갑	EXTRACTED_SINGLE
Dark Belt	11	11	해골벨트		EXTRACTED_SINGLE
Dark Hy-Brasyl Belt	11	12	금벨트	대지의금벨트 · 바다의금벨트 · 바람의금벨트 · 화염의금벨트	PACK_CONSENSUS
Earth Belt	11	1	대지의벨트		EXTRACTED_SINGLE
Earth Hy-Brasyl Belt	11	12	대지의금벨트	금벨트 · 바다의금벨트 · 바람의금벨트 · 화염의금벨트	EXTRACTED_SINGLE
Earth Leather Belt	11	12	대지의가죽벨트	가죽벨트 · 바다의가죽벨트 · 바람의가죽벨트 · 화염의가죽벨트	EXTRACTED_SINGLE
Earth Mythril Belt	11	12	대지의은벨트	바다의은벨트 · 바람의은벨트 · 은벨트 · 화염의은벨트	EXTRACTED_SINGLE
Fire Belt	11	1	화염의벨트		EXTRACTED_SINGLE
Fire Hy-Brasyl Belt	11	12	화염의금벨트	금벨트 · 대지의금벨트 · 바다의금벨트 · 바람의금벨트	PACK_CONSENSUS
Fire Leather Belt	11	12	화염의가죽벨트	가죽벨트 · 대지의가죽벨트 · 바다의가죽벨트 · 바람의가죽벨트	EXTRACTED_SINGLE
Fire Mythril Belt	11	12	화염의은벨트	대지의은벨트 · 바다의은벨트 · 바람의은벨트 · 은벨트	EXTRACTED_SINGLE
Leather Belt	11	12	가죽벨트	대지의가죽벨트 · 바다의가죽벨트 · 바람의가죽벨트 · 화염의가죽벨트	EXTRACTED_SINGLE
Sea Belt	11	1	바다의벨트		EXTRACTED_SINGLE
Sea Hy-Brasyl Belt	11	12	바다의금벨트	금벨트 · 대지의금벨트 · 바람의금벨트 · 화염의금벨트	EXTRACTED_SINGLE
Sea Leather Belt	11	12	바다의가죽벨트	가죽벨트 · 대지의가죽벨트 · 바람의가죽벨트 · 화염의가죽벨트	EXTRACTED_SINGLE
Sea Mythril Belt	11	12	바다의은벨트	대지의은벨트 · 바람의은벨트 · 은벨트 · 화염의은벨트	EXTRACTED_SINGLE
Wind Belt	11	1	바람의벨트		EXTRACTED_SINGLE
Wind Hy-Brasyl Belt	11	12	바람의금벨트	금벨트 · 대지의금벨트 · 바다의금벨트 · 화염의금벨트	PACK_CONSENSUS
Wind Leather Belt	11	12	바람의가죽벨트	가죽벨트 · 대지의가죽벨트 · 바다의가죽벨트 · 화염의가죽벨트	EXTRACTED_SINGLE
Wind Mythril Belt	11	12	바람의은벨트	대지의은벨트 · 바다의은벨트 · 은벨트 · 화염의은벨트	EXTRACTED_SINGLE
Abundance Hy-Brasyl Greaves	12	93	풍요의금각반	금각반 · 뉴트의매직각반 · 뉴트의몽크각반 · 뉴트의파워각반 · 레드오피온의각반 · 로오의금각반 · 마력의금각반 · 메투스의금각반 · 뮤레칸의금각반 · 세오의금각반 · 세토아의금각반 · 셔스의금각반	EXTRACTED_SINGLE
Abundance Iron Greaves	12	20	풍요의동각반	동각반 · 로오의동각반 · 마법의동각반 · 메투스의동각반 · 뮤레칸의동각반 · 세오의동각반 · 세토아의동각반 · 셔스의동각반 · 이아의동각반 · 체력의동각반 · 축복의동각반 · 칸의동각반	PACK_CONSENSUS
Abundance Leather Greaves	12	6	풍요의가죽각반	가죽각반 · 로오의가죽각반 · 마법의가죽각반 · 메투스의가죽각반 · 뮤레칸의가죽각반 · 세오의가죽각반 · 세오의각반 · 세토아의가죽각반 · 셔스의가죽각반 · 이아의가죽각반 · 체력의가죽각반 · 축복의가죽각반	PACK_CONSENSUS
Abundance Mythril Greaves	12	59	풍요의은각반	로오의은각반 · 마법의은각반 · 메투스의은각반 · 뮤레칸의은각반 · 산호각반 · 세오의은각반 · 세토아의은각반 · 셔스의은각반 · 은각반 · 이아의은각반 · 체력의은각반 · 축복의은각반	EXTRACTED_SINGLE
Blessed Hy-Brasyl Greaves	12	93	축복의금각반	금각반 · 뉴트의매직각반 · 뉴트의몽크각반 · 뉴트의파워각반 · 레드오피온의각반 · 로오의금각반 · 마력의금각반 · 메투스의금각반 · 뮤레칸의금각반 · 세오의금각반 · 세토아의금각반 · 셔스의금각반	EXTRACTED_SINGLE
Blessed Iron Greaves	12	20	축복의동각반	동각반 · 로오의동각반 · 마법의동각반 · 메투스의동각반 · 뮤레칸의동각반 · 세오의동각반 · 세토아의동각반 · 셔스의동각반 · 이아의동각반 · 체력의동각반 · 칸의동각반 · 풍요의동각반	EXTRACTED_SINGLE
Blessed Leather Greaves	12	6	축복의가죽각반	가죽각반 · 로오의가죽각반 · 마법의가죽각반 · 메투스의가죽각반 · 뮤레칸의가죽각반 · 세오의가죽각반 · 세오의각반 · 세토아의가죽각반 · 셔스의가죽각반 · 이아의가죽각반 · 체력의가죽각반 · 칸의가죽각반	EXTRACTED_SINGLE
Blessed Mythril Greaves	12	59	축복의은각반	로오의은각반 · 마법의은각반 · 메투스의은각반 · 뮤레칸의은각반 · 산호각반 · 세오의은각반 · 세토아의은각반 · 셔스의은각반 · 은각반 · 이아의은각반 · 체력의은각반 · 칸의은각반	EXTRACTED_SINGLE
Cail Hy-Brasyl Greaves	12	93	메투스의금각반	금각반 · 뉴트의매직각반 · 뉴트의몽크각반 · 뉴트의파워각반 · 레드오피온의각반 · 로오의금각반 · 마력의금각반 · 뮤레칸의금각반 · 세오의금각반 · 세토아의금각반 · 셔스의금각반 · 이아의금각반	EXTRACTED_SINGLE
Cail Iron Greaves	12	20	메투스의동각반	동각반 · 로오의동각반 · 마법의동각반 · 뮤레칸의동각반 · 세오의동각반 · 세토아의동각반 · 셔스의동각반 · 이아의동각반 · 체력의동각반 · 축복의동각반 · 칸의동각반 · 풍요의동각반	PACK_CONSENSUS
Cail Leather Greaves	12	6	메투스의가죽각반	가죽각반 · 로오의가죽각반 · 마법의가죽각반 · 뮤레칸의가죽각반 · 세오의가죽각반 · 세오의각반 · 세토아의가죽각반 · 셔스의가죽각반 · 이아의가죽각반 · 체력의가죽각반 · 축복의가죽각반 · 칸의가죽각반	PACK_CONSENSUS
Cail Mythril Greaves	12	59	메투스의은각반	로오의은각반 · 마법의은각반 · 뮤레칸의은각반 · 산호각반 · 세오의은각반 · 세토아의은각반 · 셔스의은각반 · 은각반 · 이아의은각반 · 체력의은각반 · 축복의은각반 · 칸의은각반	EXTRACTED_SINGLE
Ceannlaidir Hy-Brasyl Greaves	12	93	세토아의금각반	금각반 · 뉴트의매직각반 · 뉴트의몽크각반 · 뉴트의파워각반 · 레드오피온의각반 · 로오의금각반 · 마력의금각반 · 메투스의금각반 · 뮤레칸의금각반 · 세오의금각반 · 셔스의금각반 · 이아의금각반	EXTRACTED_SINGLE
Ceannlaidir Iron Greaves	12	20	세토아의동각반	동각반 · 로오의동각반 · 마법의동각반 · 메투스의동각반 · 뮤레칸의동각반 · 세오의동각반 · 셔스의동각반 · 이아의동각반 · 체력의동각반 · 축복의동각반 · 칸의동각반 · 풍요의동각반	PACK_CONSENSUS
Ceannlaidir Leather Greaves	12	6	세토아의가죽각반	가죽각반 · 로오의가죽각반 · 마법의가죽각반 · 메투스의가죽각반 · 뮤레칸의가죽각반 · 세오의가죽각반 · 세오의각반 · 셔스의가죽각반 · 이아의가죽각반 · 체력의가죽각반 · 축복의가죽각반 · 칸의가죽각반	PACK_CONSENSUS
Ceannlaidir Mythril Greaves	12	59	세토아의은각반	로오의은각반 · 마법의은각반 · 메투스의은각반 · 뮤레칸의은각반 · 산호각반 · 세오의은각반 · 셔스의은각반 · 은각반 · 이아의은각반 · 체력의은각반 · 축복의은각반 · 칸의은각반	EXTRACTED_SINGLE
Deoch Hy-Brasyl Greaves	12	93	세오의금각반	금각반 · 뉴트의매직각반 · 뉴트의몽크각반 · 뉴트의파워각반 · 레드오피온의각반 · 로오의금각반 · 마력의금각반 · 메투스의금각반 · 뮤레칸의금각반 · 세토아의금각반 · 셔스의금각반 · 이아의금각반	EXTRACTED_SINGLE
Deoch Iron Greaves	12	20	세오의동각반	동각반 · 로오의동각반 · 마법의동각반 · 메투스의동각반 · 뮤레칸의동각반 · 세토아의동각반 · 셔스의동각반 · 이아의동각반 · 체력의동각반 · 축복의동각반 · 칸의동각반 · 풍요의동각반	PACK_CONSENSUS
Deoch Leather Greaves	12	6	세오의가죽각반	가죽각반 · 로오의가죽각반 · 마법의가죽각반 · 메투스의가죽각반 · 뮤레칸의가죽각반 · 세오의각반 · 세토아의가죽각반 · 셔스의가죽각반 · 이아의가죽각반 · 체력의가죽각반 · 축복의가죽각반 · 칸의가죽각반	AFFIX_COMPOSED
Deoch Mythril Greaves	12	59	세오의은각반	로오의은각반 · 마법의은각반 · 메투스의은각반 · 뮤레칸의은각반 · 산호각반 · 세토아의은각반 · 셔스의은각반 · 은각반 · 이아의은각반 · 체력의은각반 · 축복의은각반 · 칸의은각반	EXTRACTED_SINGLE
Fiosachd Hy-Brasyl Greaves	12	93	셔스의금각반	금각반 · 뉴트의매직각반 · 뉴트의몽크각반 · 뉴트의파워각반 · 레드오피온의각반 · 로오의금각반 · 마력의금각반 · 메투스의금각반 · 뮤레칸의금각반 · 세오의금각반 · 세토아의금각반 · 이아의금각반	EXTRACTED_SINGLE
Fiosachd Iron Greaves	12	20	셔스의동각반	동각반 · 로오의동각반 · 마법의동각반 · 메투스의동각반 · 뮤레칸의동각반 · 세오의동각반 · 세토아의동각반 · 이아의동각반 · 체력의동각반 · 축복의동각반 · 칸의동각반 · 풍요의동각반	PACK_CONSENSUS
Fiosachd Leather Greaves	12	6	셔스의가죽각반	가죽각반 · 로오의가죽각반 · 마법의가죽각반 · 메투스의가죽각반 · 뮤레칸의가죽각반 · 세오의가죽각반 · 세오의각반 · 세토아의가죽각반 · 이아의가죽각반 · 체력의가죽각반 · 축복의가죽각반 · 칸의가죽각반	PACK_CONSENSUS
Fiosachd Mythril Greaves	12	59	셔스의은각반	로오의은각반 · 마법의은각반 · 메투스의은각반 · 뮤레칸의은각반 · 산호각반 · 세오의은각반 · 세토아의은각반 · 은각반 · 이아의은각반 · 체력의은각반 · 축복의은각반 · 칸의은각반	EXTRACTED_SINGLE
Glioca Hy-Brasyl Greaves	12	93	이아의금각반	금각반 · 뉴트의매직각반 · 뉴트의몽크각반 · 뉴트의파워각반 · 레드오피온의각반 · 로오의금각반 · 마력의금각반 · 메투스의금각반 · 뮤레칸의금각반 · 세오의금각반 · 세토아의금각반 · 셔스의금각반	EXTRACTED_SINGLE
Glioca Iron Greaves	12	20	이아의동각반	동각반 · 로오의동각반 · 마법의동각반 · 메투스의동각반 · 뮤레칸의동각반 · 세오의동각반 · 세토아의동각반 · 셔스의동각반 · 체력의동각반 · 축복의동각반 · 칸의동각반 · 풍요의동각반	PACK_CONSENSUS
Glioca Leather Greaves	12	6	이아의가죽각반	가죽각반 · 로오의가죽각반 · 마법의가죽각반 · 메투스의가죽각반 · 뮤레칸의가죽각반 · 세오의가죽각반 · 세오의각반 · 세토아의가죽각반 · 셔스의가죽각반 · 체력의가죽각반 · 축복의가죽각반 · 칸의가죽각반	PACK_CONSENSUS
Glioca Mythril Greaves	12	59	이아의은각반	로오의은각반 · 마법의은각반 · 메투스의은각반 · 뮤레칸의은각반 · 산호각반 · 세오의은각반 · 세토아의은각반 · 셔스의은각반 · 은각반 · 체력의은각반 · 축복의은각반 · 칸의은각반	EXTRACTED_SINGLE
Gramail Hy-Brasyl Greaves	12	93	칸의금각반	금각반 · 뉴트의매직각반 · 뉴트의몽크각반 · 뉴트의파워각반 · 레드오피온의각반 · 로오의금각반 · 마력의금각반 · 메투스의금각반 · 뮤레칸의금각반 · 세오의금각반 · 세토아의금각반 · 셔스의금각반	EXTRACTED_SINGLE
Gramail Iron Greaves	12	20	칸의동각반	동각반 · 로오의동각반 · 마법의동각반 · 메투스의동각반 · 뮤레칸의동각반 · 세오의동각반 · 세토아의동각반 · 셔스의동각반 · 이아의동각반 · 체력의동각반 · 축복의동각반 · 풍요의동각반	EXTRACTED_SINGLE
Gramail Leather Greaves	12	6	칸의가죽각반	가죽각반 · 로오의가죽각반 · 마법의가죽각반 · 메투스의가죽각반 · 뮤레칸의가죽각반 · 세오의가죽각반 · 세오의각반 · 세토아의가죽각반 · 셔스의가죽각반 · 이아의가죽각반 · 체력의가죽각반 · 축복의가죽각반	EXTRACTED_SINGLE
Gramail Mythril Greaves	12	59	칸의은각반	로오의은각반 · 마법의은각반 · 메투스의은각반 · 뮤레칸의은각반 · 산호각반 · 세오의은각반 · 세토아의은각반 · 셔스의은각반 · 은각반 · 이아의은각반 · 체력의은각반 · 축복의은각반	EXTRACTED_SINGLE
Iron Greaves	12	20	동각반	로오의동각반 · 마법의동각반 · 메투스의동각반 · 뮤레칸의동각반 · 세오의동각반 · 세토아의동각반 · 셔스의동각반 · 이아의동각반 · 체력의동각반 · 축복의동각반 · 칸의동각반 · 풍요의동각반	PACK_CONSENSUS
Leather Greaves	12	6	가죽각반	로오의가죽각반 · 마법의가죽각반 · 메투스의가죽각반 · 뮤레칸의가죽각반 · 세오의가죽각반 · 세오의각반 · 세토아의가죽각반 · 셔스의가죽각반 · 이아의가죽각반 · 체력의가죽각반 · 축복의가죽각반 · 칸의가죽각반	PACK_CONSENSUS
Luathas Hy-Brasyl Greaves	12	93	로오의금각반	금각반 · 뉴트의매직각반 · 뉴트의몽크각반 · 뉴트의파워각반 · 레드오피온의각반 · 마력의금각반 · 메투스의금각반 · 뮤레칸의금각반 · 세오의금각반 · 세토아의금각반 · 셔스의금각반 · 이아의금각반	EXTRACTED_SINGLE
Luathas Iron Greaves	12	20	로오의동각반	동각반 · 마법의동각반 · 메투스의동각반 · 뮤레칸의동각반 · 세오의동각반 · 세토아의동각반 · 셔스의동각반 · 이아의동각반 · 체력의동각반 · 축복의동각반 · 칸의동각반 · 풍요의동각반	PACK_CONSENSUS
